n_traces,model_filename,model_size,atomization_conf,execution_time,failure
100,AltPrecedence,25,SQLMiner + Support,184405.165,
100,AltPrecedence,25,SQLMiner + Support,186740.21,
100,AltPrecedence,25,SQLMiner + Support,176812.139,
100,AltPrecedence,25,SQLMiner + Support,180011.041,
100,AltPrecedence,25,SQLMiner + Support,180871.812,
100,AltResponse,25,SQLMiner + Support,168646.494,
100,AltResponse,25,SQLMiner + Support,168929.551,
100,AltResponse,25,SQLMiner + Support,165329.242,
100,AltResponse,25,SQLMiner + Support,168010.723,
100,AltResponse,25,SQLMiner + Support,173578.275,
100,ChainPrecedence,25,SQLMiner + Support,100036.332,
100,ChainPrecedence,25,SQLMiner + Support,99845.487,
100,ChainPrecedence,25,SQLMiner + Support,102965.472,
100,ChainPrecedence,25,SQLMiner + Support,107744.148,
100,ChainPrecedence,25,SQLMiner + Support,99794.922,
100,ChainResponse,25,SQLMiner + Support,108023.488,
100,ChainResponse,25,SQLMiner + Support,105040.303,
100,ChainResponse,25,SQLMiner + Support,108332.514,
100,ChainResponse,25,SQLMiner + Support,108477.343,
100,ChainResponse,25,SQLMiner + Support,108212.58,
100,NotSuccession,25,SQLMiner + Support,7707.402,
100,NotSuccession,25,SQLMiner + Support,7520.631,
100,NotSuccession,25,SQLMiner + Support,7513.953,
100,NotSuccession,25,SQLMiner + Support,7501.865,
100,NotSuccession,25,SQLMiner + Support,7524.734,
100,Precedence,25,SQLMiner + Support,54.502,
100,Precedence,25,SQLMiner + Support,52.08,
100,Precedence,25,SQLMiner + Support,52.026,
100,Precedence,25,SQLMiner + Support,55.554,
100,Precedence,25,SQLMiner + Support,53.92,
100,RespondedExistence,25,SQLMiner + Support,36.637,
100,RespondedExistence,25,SQLMiner + Support,35.445,
100,RespondedExistence,25,SQLMiner + Support,35.454,
100,RespondedExistence,25,SQLMiner + Support,36.227,
100,RespondedExistence,25,SQLMiner + Support,40.105,
100,Response,25,SQLMiner + Support,64.757,
100,Response,25,SQLMiner + Support,55.352,
100,Response,25,SQLMiner + Support,58.455,
100,Response,25,SQLMiner + Support,58.459,
100,Response,25,SQLMiner + Support,55.043,
100,AltPrecedence,25,SQLMiner + TraceInfo,5887.894,
100,AltPrecedence,25,SQLMiner + TraceInfo,5783.73,
100,AltPrecedence,25,SQLMiner + TraceInfo,5759.343,
100,AltPrecedence,25,SQLMiner + TraceInfo,5770.231,
100,AltPrecedence,25,SQLMiner + TraceInfo,5756.573,
100,AltResponse,25,SQLMiner + TraceInfo,191914.053,
100,AltResponse,25,SQLMiner + TraceInfo,174046.644,
100,AltResponse,25,SQLMiner + TraceInfo,176241.759,
100,AltResponse,25,SQLMiner + TraceInfo,176571.04,
100,AltResponse,25,SQLMiner + TraceInfo,176348.648,
100,ChainPrecedence,25,SQLMiner + TraceInfo,5000.396,
100,ChainPrecedence,25,SQLMiner + TraceInfo,4848.849,
100,ChainPrecedence,25,SQLMiner + TraceInfo,4862.49,
100,ChainPrecedence,25,SQLMiner + TraceInfo,5021.315,
100,ChainPrecedence,25,SQLMiner + TraceInfo,5025.299,
100,ChainResponse,25,SQLMiner + TraceInfo,188043.7,
100,ChainResponse,25,SQLMiner + TraceInfo,174894.042,
100,ChainResponse,25,SQLMiner + TraceInfo,176789.897,
100,ChainResponse,25,SQLMiner + TraceInfo,174966.164,
100,ChainResponse,25,SQLMiner + TraceInfo,190219.424,
100,NotSuccession,25,SQLMiner + TraceInfo,3146.339,
100,NotSuccession,25,SQLMiner + TraceInfo,3077.106,
100,NotSuccession,25,SQLMiner + TraceInfo,3124.444,
100,NotSuccession,25,SQLMiner + TraceInfo,3077.269,
100,NotSuccession,25,SQLMiner + TraceInfo,3087.825,
100,Precedence,25,SQLMiner + TraceInfo,2915.529,
100,Precedence,25,SQLMiner + TraceInfo,2888.993,
100,Precedence,25,SQLMiner + TraceInfo,2859.704,
100,Precedence,25,SQLMiner + TraceInfo,2884.159,
100,Precedence,25,SQLMiner + TraceInfo,2867.351,
100,RespondedExistence,25,SQLMiner + TraceInfo,2156.612,
100,RespondedExistence,25,SQLMiner + TraceInfo,2107.294,
100,RespondedExistence,25,SQLMiner + TraceInfo,2099.19,
100,RespondedExistence,25,SQLMiner + TraceInfo,2129.542,
100,RespondedExistence,25,SQLMiner + TraceInfo,2137.055,
100,Response,25,SQLMiner + TraceInfo,7167.936,
100,Response,25,SQLMiner + TraceInfo,7177.463,
100,Response,25,SQLMiner + TraceInfo,7185.072,
100,Response,25,SQLMiner + TraceInfo,7156.825,
100,Response,25,SQLMiner + TraceInfo,7162.111,
