n_traces,model_filename,atomization_conf,query_time
100,RespondedExistence25,SQLMiner + Support,32.27
100,RespondedExistence25,SQLMiner + Support,32.464
100,RespondedExistence25,SQLMiner + Support,32.495
100,RespondedExistence25,SQLMiner + Support,32.636
100,ChainPrecedence25,SQLMiner + Support,89187.56
100,ChainPrecedence25,SQLMiner + Support,89207.278
100,ChainPrecedence25,SQLMiner + Support,88997.735
100,ChainPrecedence25,SQLMiner + Support,89147.285
100,ChainPrecedence25,SQLMiner + Support,87958.031
100,ChainResponse25,SQLMiner + TraceInfo,141446.657
100,ChainResponse25,SQLMiner + TraceInfo,139511.967
100,ChainResponse25,SQLMiner + TraceInfo,127895.072
100,ChainResponse25,SQLMiner + TraceInfo,129653.748
100,ChainResponse25,SQLMiner + TraceInfo,135201.539
100,AltPrecedence25,SQLMiner + Support,154694.806
100,AltPrecedence25,SQLMiner + Support,152805.241
100,AltPrecedence25,SQLMiner + Support,149580.254
100,AltPrecedence25,SQLMiner + Support,154972.268
100,AltPrecedence25,SQLMiner + Support,147029.29
100,NotSuccession25,SQLMiner + Support,5736.243
100,NotSuccession25,SQLMiner + Support,5726.756
100,NotSuccession25,SQLMiner + Support,5753.43
100,NotSuccession25,SQLMiner + Support,5738.054
100,NotSuccession25,SQLMiner + Support,5729.388
100,Precedence25,SQLMiner + TraceInfo,2165.768
100,Precedence25,SQLMiner + TraceInfo,2159.47
100,Precedence25,SQLMiner + TraceInfo,2175.68
100,Precedence25,SQLMiner + TraceInfo,2161.406
100,Precedence25,SQLMiner + TraceInfo,2172.033
100,Precedence25,SQLMiner + Support,45.295
100,Precedence25,SQLMiner + Support,46.103
100,Precedence25,SQLMiner + Support,46.318
100,Precedence25,SQLMiner + Support,46.31
100,Precedence25,SQLMiner + Support,45.131
100,NotSuccession25,SQLMiner + TraceInfo,2408.339
100,NotSuccession25,SQLMiner + TraceInfo,2411.361
100,NotSuccession25,SQLMiner + TraceInfo,2398.183
100,NotSuccession25,SQLMiner + TraceInfo,2500.203
100,NotSuccession25,SQLMiner + TraceInfo,2403.395
