filename,GraphGenerationTime,GraphVisitTime,SerialisationTime,Total,AtomSize,minL,maxL,S
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.645724,1.19285,3675.51,3677.35,19,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.645734,1.16435,3598.32,3600.13,19,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.57576,1.84145,2499.25,2505.66,20,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.49265,1.81524,2538.15,2544.46,20,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.6911,1.89549,2538.94,2545.53,20,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.60438,1.84184,2531.52,2537.96,20,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_4_dataful.powerdecl,4.59255,1.89936,2586.34,2592.83,20,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.4069,2.09976,2420.88,2436.39,23,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,14.2109,2.1752,2574.21,2590.59,23,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,14.7602,2.21166,2457.91,2474.88,23,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,14.5566,2.28668,2419.03,2435.87,23,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_6_dataful.powerdecl,13.5771,2.11252,2410.39,2426.08,23,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,69.3566,3.19942,1741.17,1813.72,32,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,68.1192,2.77271,1773.04,1843.93,32,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,69.9746,2.76834,1746.28,1819.02,32,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,70.0039,2.76012,1766.36,1839.12,32,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_8_dataful.powerdecl,70.5944,2.74863,1736.1,1809.44,32,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,237.709,11.7601,2172.43,2421.9,35,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,238.709,11.1914,2195.86,2445.76,35,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,234.726,11.4286,2187.21,2433.36,35,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,239.944,11.473,2201.14,2452.56,35,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_10_dataful.powerdecl,233.051,10.949,2161.87,2405.87,35,100,100,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.636306,3.1152,35789.3,35793,19,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.688864,3.31989,35825.2,35829.2,19,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.679127,3.26029,35617.8,35621.7,19,1000,1000,100
/home/giacomo/projects/loggen/convert_same/data/test_gen_2_dataful.powerdecl,0.647598,3.12892,35402.4,35406.2,19,1000,1000,100
