algorithm,model_size,GraphGenerationTime,GraphVisitTime,SerialisationTime,Total,AtomSize,minL,maxL,S
Proposed (dataless),6,6.54851,119.387,2172.95,2298.89,16,10000,10000,10000
Proposed (dataless),6,6.68441,123.74,2219.18,2349.6,16,10000,10000,10000
Proposed (dataless),6,6.62664,123.236,2219.68,2349.55,16,10000,10000,10000
Proposed (dataless),8,17.3746,85.2952,2449.51,2552.18,16,10000,10000,10000
Proposed (dataless),8,19.4086,103.693,2369.02,2492.12,16,10000,10000,10000
Proposed (dataless),8,22.9261,103.747,2469.15,2595.82,16,10000,10000,10000
Proposed (dataless),8,17.0962,86.8348,2524.31,2628.24,16,10000,10000,10000
Proposed (dataless),8,17.217,88.9398,2412.39,2518.54,16,10000,10000,10000
Proposed (dataless),10,46.0512,169.832,2175.93,2391.81,16,10000,10000,10000
Proposed (dataless),10,45.6671,163.978,2234.75,2444.4,16,10000,10000,10000
Proposed (dataless),10,43.4776,158.082,2276.63,2478.19,16,10000,10000,10000
Proposed (dataless),10,51.8983,184.973,2359.97,2596.84,16,10000,10000,10000
Proposed (dataless),10,51.1889,189.786,2451.11,2692.08,16,10000,10000,10000
